Key #,Core #,Room #,Box #,# In Stock,# Assigned,Total
815,NA,CABLE LOCKS FOR LAPTOP SECURITY BOX,1,3,0,3
100T,NA,DISPLAY CASES,2,1,0,1
331C,NA,FLAMMABLE CABINET,3,1,0,1
931/N54,NA,MACHINE SHOP TOOL BOX,4,1,0,1
B1477,NA,LEXTURE HALL VI BOOTH,5,2,0,2
B644A,NA,AV BOX,6,1,0,1
C420A,NA,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""DRAWER 107""""""""""""""""""""""""""""""",""""""""""""""""""""""""""""""" 401""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",7,0,7,"""""""""""""""""""""""""""""""1
"
